                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3836,                 1.5044,                 1.4246,                0.35374,                 0.2947,                0.25701,                0.11051,                 2.0374,                 3.8868,                 2.1268,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.7151,                 1.8772,                 1.6837,                0.35249,                0.30788,                0.26293,                0.11675,                  2.077,                 3.1065,                 2.1194,              0.0012975,              0.0012975,              0.0012975
                      3,                 1.7109,                 1.8941,                 1.6794,                 0.4839,                0.35364,                0.34785,                0.15782,                 1.9229,                 2.0225,                 1.9245,              0.0018983,              0.0018983,              0.0018983
                      4,                 1.6521,                  1.815,                 1.6267,                 0.4848,                0.34394,                0.35879,                0.17064,                 1.8383,                 2.1762,                 1.8314,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.5851,                 1.7576,                 1.5869,                0.50272,                0.40438,                0.40503,                0.21111,                 1.7648,                 1.8414,                 1.7803,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.5115,                 1.6555,                 1.5333,                0.59404,                0.41507,                0.45779,                   0.24,                 1.6751,                 1.8443,                 1.7024,               0.001802,               0.001802,               0.001802
                      7,                 1.5042,                 1.6162,                 1.5387,                0.59735,                0.44193,                0.48864,                0.25888,                 1.6489,                 1.6968,                 1.6878,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.4421,                 1.5471,                 1.4965,                 0.5835,                0.44806,                0.48102,                0.26253,                 1.6126,                 1.6462,                 1.6583,               0.001703,               0.001703,               0.001703
                      9,                 1.4281,                 1.5125,                 1.4898,                0.62842,                0.45511,                0.50354,                0.27607,                 1.5953,                 1.6174,                  1.649,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.4038,                 1.4862,                 1.4713,                 0.5736,                0.45859,                0.48413,                 0.2707,                 1.5819,                 1.5705,                 1.6285,               0.001604,               0.001604,               0.001604
                     11,                 1.3701,                 1.4341,                 1.4494,                0.65029,                0.48604,                0.54596,                0.31264,                 1.5085,                 1.4747,                 1.5644,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.3576,                 1.4046,                 1.4343,                0.68544,                0.49044,                0.56487,                0.32809,                 1.4751,                 1.4281,                 1.5411,               0.001505,               0.001505,               0.001505
                     13,                 1.3473,                 1.3819,                 1.4296,                0.67087,                0.50589,                0.56782,                0.33244,                  1.466,                 1.3963,                 1.5438,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.3099,                 1.3459,                 1.4087,                0.66456,                0.50734,                0.56572,                 0.3266,                 1.4657,                 1.4533,                 1.5463,               0.001406,               0.001406,               0.001406
